,1
0,0.043650794
0.053763441,0.063492063
0.053763441,0.107142857
0.129032258,0.051587302
0.215053763,0.03968254
0.223146776,0.008018367
0.286238905,-0.004683092
0.365591398,0.003968254
0.408602151,0.027777778
0.47311828,0.047619048
0.494623656,0.083333333
0.52688172,0.111111111
0.591397849,0.130952381
0.677419355,0.091269841
0.76344086,0.079365079
0.817204301,0.051587302
0.817204301,0
0.825389824,-9.78E-04
0.882746305,0.002726092
0.944404522,-4.49E-04
1.007496651,0.00325532
1.073456604,-9.78E-04
1.166660885,0.00113841
1.249827782,-0.002036955
1.268817204,0.023809524
1.322580645,0.051587302
1.333333333,0.091269841
1.365591398,0.162698413
1.387096774,0.202380952
1.430107527,0.234126984
1.483870968,0.182539683
1.494623656,0.142857143
1.505376344,0.146825397
1.548387097,0.087301587
1.559139785,0.119047619
1.591397849,0.05952381
1.64516129,0.023809524
1.655913978,0.003968254
1.734490044,0.005901457
1.766036109,0.00325532
1.806451613,-0.003968254
1.84490127,-4.49E-04
1.936671639,0.002726092
2.021505376,0.003968254
2.086021505,0.027777778
2.086021505,0.035714286
2.11827957,0.075396825
2.139784946,0.115079365
2.172043011,0.150793651
2.193548387,0.182539683
2.204301075,0.186507937
2.225806452,0.214285714
2.290322581,0.182539683
2.290322581,0.154761905
2.322580645,0.107142857
2.365591398,0.115079365
2.451612903,0.099206349
2.451612903,0.075396825
2.47311828,0.007936508
2.569892473,0.011904762
2.677419355,-0.007936508
2.703814569,-4.49E-04
2.794151027,-4.49E-04
2.892473118,-0.007936508
2.956989247,0.023809524
2.967741935,0.063492063
3,0.162698413
3.032258065,0.202380952
3.053763441,0.238095238
3.096774194,0.234126984
3.129032258,0.202380952
3.161290323,0.162698413
3.182795699,0.115079365
3.258064516,0.103174603
3.290322581,0.115079365
3.290322581,0.119047619
3.301075269,0.015873016
3.311827957,0.035714286
3.311827957,0.075396825
3.365591398,0.011904762
3.397849462,0.011904762
3.47311828,-0.003968254
3.505376344,-0.003968254
3.612903226,-0.003968254
3.720430108,0.003968254
3.731182796,0.011904762
3.774193548,0.03968254
3.784946237,0.027777778
3.795698925,0.079365079
3.817204301,0.119047619
3.838709677,0.158730159
3.860215054,0.198412698
3.903225806,0.226190476
3.978494624,0.218253968
4.043010753,0.186507937
4.086021505,0.146825397
4.161290323,0.123015873
4.204301075,0.087301587
4.247311828,0.027777778
4.268817204,0.035714286
4.322580645,0.007936508
4.419354839,0.003968254
4.516129032,0.007936508
4.580645161,0.055555556
4.602150538,0.075396825
4.666666667,0.075396825
4.795698925,0.26984127
4.860215054,0.246031746
4.870967742,0.222222222
4.935483871,0.170634921
5.053763441,0.111111111
5.096774194,0.071428571
5.161290323,0.007936508
5.258064516,0.011904762
5.365591398,0.003968254
5.47311828,0.003968254
5.537634409,0.027777778
5.580645161,0.063492063
5.602150538,0.134920635
5.666666667,0.337301587
5.752688172,0.384920635
5.774193548,0.353174603
5.806451613,0.293650794
5.849462366,0.253968254
5.913978495,0.226190476
5.978494624,0.19047619
6.086021505,0.142857143
6.086021505,0.130952381
6.150537634,0.047619048
6.193548387,0.015873016
6.279569892,0.003968254
6.376344086,0.003968254
6.483870968,0.015873016
6.559139785,0.103174603
6.580645161,0.142857143
6.602150538,0.182539683
6.666666667,0.329365079
6.688172043,0.369047619
6.720430108,0.408730159
6.774193548,0.436507937
6.806451613,0.416666667
6.870967742,0.388888889
6.913978495,0.349206349
6.978494624,0.325396825
7.043010753,0.301587302
7.107526882,0.265873016
7.258064516,0.234126984
7.279569892,0.194444444
7.311827957,0.154761905
7.333333333,0.115079365
7.365591398,0.075396825
7.387096774,0.035714286
7.430107527,0
7.537634409,0.003968254
7.64516129,0.003968254
7.731182796,0.023809524
7.752688172,0.05952381
7.8,0.273809524