,3
0.064343164,6.198019802
0.128686327,6.03960396
0.160857909,5.762376238
0.225201072,6.03960396
0.246648794,6.356435644
0.246648794,6.158415842
0.300268097,6.316831683
0.353887399,6.356435644
0.407506702,6.356435644
0.450402145,6.03960396
0.461126005,6.316831683
0.54691689,6.079207921
0.589812332,5.841584158
0.643431635,5.643564356
0.697050938,5.524752475
0.804289544,5.524752475
0.815013405,6
0.836461126,6.356435644
0.847184987,6.514851485
0.922252011,6.396039604
0.954423592,6.356435644
1.029490617,6.435643564
1.061662198,6.435643564
1.136729223,6.475247525
1.136729223,6.435643564
1.168900804,6.514851485
1.201072386,6.277227723
1.201072386,6.396039604
1.308310992,6.396039604
1.351206434,6.158415842
1.383378016,5.841584158
1.436997319,5.603960396
1.45844504,5.247524752
1.469168901,5.168316832
1.554959786,5.287128713
1.565683646,5.247524752
1.619302949,5.485148515
1.63002681,5.881188119
1.64075067,6.277227723
1.651474531,6.514851485
1.715817694,6.356435644
1.758713137,6.435643564
1.8230563,6.356435644
1.865951743,6.356435644
1.930294906,6.475247525
1.962466488,6.198019802
2.069705094,6.316831683
2.112600536,6.079207921
2.166219839,5.841584158
2.219839142,5.643564356
2.252010724,5.247524752
2.316353887,5.168316832
2.327077748,5.04950495
2.412868633,5.168316832
2.423592493,5.04950495
2.445040214,5.445544554
2.466487936,5.841584158
2.498659517,6.158415842
2.530831099,6.435643564
2.605898123,6.396039604
2.638069705,6.396039604
2.702412869,6.514851485
2.745308311,6.316831683
2.809651475,6.277227723
2.852546917,6.396039604
2.91689008,6.396039604
2.959785523,6.475247525
2.970509383,6.158415842
3.013404826,5.762376238
3.045576408,5.366336634
3.09919571,5.128712871
3.152815013,4.930693069
3.238605898,4.891089109
3.292225201,5.128712871
3.313672922,5.485148515
3.335120643,5.881188119
3.356568365,6.277227723
3.45308311,6.435643564
3.560321716,6.435643564
3.667560322,6.396039604
3.753351206,6.237623762
3.806970509,6.03960396
3.806970509,5.920792079
3.849865952,5.643564356
3.860589812,5.722772277
3.882037534,5.287128713
3.946380697,5.04950495
4.010723861,4.851485149
4.075067024,4.732673267
4.160857909,4.772277228
4.193029491,5.089108911
4.203753351,5.485148515
4.225201072,5.881188119
4.257372654,6.277227723
4.36461126,6.316831683
4.471849866,6.158415842
4.54691689,6.118811881
4.643431635,6.03960396
4.697050938,5.722772277
4.72922252,5.326732673
4.772117962,4.97029703
4.825737265,4.574257426
4.932975871,4.495049505
4.997319035,4.495049505
5.029490617,4.415841584
5.061662198,4.772277228
5.09383378,5.168316832
5.115281501,5.564356436
5.147453083,5.96039604
5.158176944,6.237623762
5.201072386,6.237623762
5.26541555,6.158415842
5.372654155,6.079207921
5.544235925,6.079207921
5.608579088,5.762376238
5.672922252,4.772277228
5.694369973,4.772277228
5.715817694,4.455445545
5.780160858,4.178217822
5.865951743,3.940594059
5.930294906,3.663366337
5.941018767,3.702970297
6.026809651,3.861386139
6.069705094,4.217821782
6.101876676,4.534653465
6.134048257,4.930693069
6.1769437,5.326732673
6.209115282,5.722772277
6.252010724,6.079207921
6.337801609,6.118811881
6.391420912,6.158415842
6.445040214,6.118811881
6.477211796,6
6.55227882,5.722772277
6.605898123,5.366336634
6.648793566,5.00990099
6.691689008,4.613861386
6.745308311,4.257425743
6.788203753,3.900990099
6.831099196,3.504950495
6.852546917,3.504950495
6.938337802,3.148514851
6.991957105,3.02970297
7.024128686,3.069306931
7.09919571,3.02970297
7.195710456,3.108910891
7.27077748,3.346534653
7.335120643,4.01980198
7.345844504,4.415841584
7.410187668,5.207920792
7.442359249,5.603960396
7.495978552,5.96039604
7.495978552,5.841584158
7.581769437,5.881188119
7.689008043,5.762376238
7.742627346,5.564356436
7.796246649,5.168316832
7.8,4.772277228